id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts21081,PabloEscobar:TheDrugLord,SHOW,"Pabloisamanwithanaturalabilityforbusiness.Earlyinhislife,Pabloisintroducedtothebusinessofcocaineandthepowerityields.AyounglifeofcrimelandsPabloinandoutofjailashebuildsiscriminalempire.PabloexpandshispowerthroughpoliticsbutitisnotlongbeforehisconflictsasaCongressmanandadruglordcollide.Pablohashisenemiesexecuted,butnotbeforetheUnitedStatesactivatesitsownwarontheMedellincartel.",2012,TV-14,44,"crime,drama,thriller,history",CO,1,tt2187850,8.4,5019,337.869,7.6
ts27586,Magi,SHOW,"Thisstoryisabouttheflowoffateandthebattletokeeptheworldontherightpath.Aladdinisaboywhohassetouttoexploretheworldafterbeingtrappedinaroomformostofhislife.HisbestfriendisaflutewithadjinninitnamedUgo.Soonenough,AladdindiscoversheisaMagi,amagicianwhochooseskings,andhewasborntochoosekingswhowillfollowtherighteouspath,battlingagainstthosewhowanttodestroyfate.Followhisadventuresashemeetsothersfrom1001ArabianNights,likeAliBabaandSinbad,andfightstokeepthebalanceofworldincheck!",2012,TV-14,24,"scifi,action,animation,comedy,fantasy",JP,3,tt2425098,7.8,4006,28.161,8.6
ts19779,Barbie:LifeintheDreamhouse,SHOW,"TheseriesissetasarealityTV-esqueshowfollowingBarbie,hersistersandherfriendsintheday-to-dayactivitiesthattakeplaceintheDreamhouseandsurroundingareas.MuchofthehumorintheshowderivesfromparodyingandlampooningboththetraditionalrealityTVformatandtheBarbiefranchiseitself.",2012,TV-Y,6,"family,animation,comedy",US,7,tt2644032,7.4,1887,30.905,7.4
ts22249,Kuroko'sBasketball,SHOW,"Inthestory,KagamiTaigahasjustenrolledintoSeirinHighSchoolwhenhemeetsKurokoTetsuyaoftheschool'sbasketballteam.KurokohappenstobetheshadowysixthmemberofthelegendaryGenerationofMiraclesbasketballteam.Together,KagamiandKurokoaimtotaketheirteamtotheinter-highschoolchampionship-againstKuroko'sformerteammates.",2012,TV-14,24,"comedy,animation,sport",JP,3,tt2348803,8.3,8420,61.164,8.7
tm178395,Hostel:PartIII,MOVIE,"SetinLasVegas,thefilmcentersonamanwhoattendshisbestfriend'sbachelorparty,unawareofaninsidiousagendathatplaysintohuntinghumans.",2011,R,87,horror,US,,,,,32.7,5.1
tm173195,TheRite,MOVIE,"SeminarystudentMichaelKovakreluctantlyattendsexorcismschoolattheVatican.Whilehe’sinRome,Michaelmeetsanunorthodoxpriestwhointroduceshimtothedarkersideofhisfaith,uncoveringthedevil’sreacheventooneoftheholiestplacesonEarth.",2011,PG-13,114,"drama,thriller,horror","US,HU,IT",,tt1161864,6,97585,22.593,6.1
tm69386,Quartet,MOVIE,"ThedirectorialdebutofDustinHoffman,Quartetisahigh-dramacomedyabouttemperamentaldivasandoldgrudges,passionandpride,romanceandRigoletto.Atahomeforretiredmusicians,theannualconcerttocelebrateVerdi'sbirthdayisdisruptedbythearrivalofJean,aneternaldivaandformerwifeofoneoftheresidents.Expectpoignancyandplentyoflaughs.",2012,PG-13,98,"drama,comedy,romance,music",GB,,tt1441951,6.8,20297,9.316,6.5
tm174683,ArthurChristmas,MOVIE,"EachChristmas,Santaandhisvastarmyofhighlytrainedelvesproducegiftsanddistributethemaroundtheworldinonenight.However,whenoneof600millionchildrentoreceiveagiftfromSantaonChristmasEveismissed,itisdeemed‘acceptable’toallbutone—Arthur.ArthurClausisSanta’smisfitsonwhoexecutesanunauthorisedrookiemissiontogetthelastpresenthalfwayaroundtheglobebeforedawnonChristmasmorning.",2011,PG,97,"drama,animation,family,comedy,fantasy","GB,US",,tt1430607,7.1,58635,22.092,6.7
tm72845,JohnMulaney:NewinTown,MOVIE,"Stand-upcomedianJohnMulaneytacklessuchred-hottopicsasquicksand,Motownsingersandanelderlymanheoncemetinabathroom.",2012,,58,"comedy,documentation",US,,tt2246779,8.2,6729,4.732,8.1
ts34921,Wolverine,SHOW,"Wolverineisamutant,possessinganimal-keensenses,enhancedphysicalcapabilities,threeretractingboneclawsoneachhandandahealingfactorthatallowshimtorecoverfromvirtuallyanywound,diseaseortoxinataacceleratedrate.",2011,TV-14,24,"scifi,animation,action",JP,1,tt1847521,6.2,1519,8.022,6.5
tm170758,Hop,MOVIE,"E.B.,theEasterBunny'steenageson,headstoHollywood,determinedtobecomeadrummerinarock'n'rollband.InL.A.,he'stakeninbyFredaftertheout-of-workslackerhitsE.B.withhiscar.",2011,PG,101,"animation,comedy,family,fantasy",US,,tt1411704,5.4,34363,19.141,5.7
tm174256,RedRidingHood,MOVIE,"Valerieisinlovewithabroodingoutsider,Peter,butherparentshavearrangedforhertomarryanotherman–whoiswealthy.Unwillingtoloseeachother,ValerieandPeterplantorunawaytogetherwhentheylearnthatValerie'soldersisterhasbeenkilledbyawerewolfthatprowlsthedarkforestsurroundingtheirvillage.Hungryforrevenge,thepeoplecallonfamedwerewolfhunter,FatherSolomon,tohelpthemkillthewolf.ButSolomon'sarrivalbringsunintendedconsequencesashewarnsthatthewolf,whotakeshumanformbyday,couldbeanyoneofthem.",2011,PG-13,100,"fantasy,thriller,horror,drama,romance","CA,US",,tt1486185,5.4,112015,24.404,6
tm56296,TheHistoryofFutureFolk,MOVIE,"AnalienintendingtoclaimEarthforhispeoplebeforetheirhomeworldisdestroyedbyacometdecidesnottoeliminatehumanitywhenhehearstheirmusic.Instead,helivesamongthemuntilanotheralienissenttofindandkillhim.",2012,,86,"music,comedy,scifi",US,,tt2245195,7.1,3478,4.334,6.8
tm160371,AVeryHarold&KumarChristmas,MOVIE,"SixyearshaveelapsedsinceGuantanamoBay,leavingHaroldandKumarestrangedfromoneanotherwithverydifferentfamilies,friendsandlives.ButwhenKumararrivesonHarold'sdoorstepduringtheholidayseasonwithamysteriouspackageinhand,heinadvertentlyburnsdownHarold'sfather-in-law'sbelovedChristmastree.Tofixtheproblem,HaroldandKumarembarkonamissionthroughNewYorkCitytofindtheperfectChristmastree,onceagainstumblingintotroubleateverysingleturn.",2011,R,108,"comedy,fantasy,romance",US,,tt1268799,6.2,69562,17.242,6
tm183547,EscapefromPlanetEarth,MOVIE,AstronautScorchSupernovafindshimselfcaughtinatrapwhenherespondstoanSOSfromanotoriouslydangerousalienplanet.,2012,PG,89,"scifi,comedy,family,animation","CA,US",,tt0765446,5.8,25734,18.259,5.7
ts34737,LaReinadelSur,SHOW,"Afteryearsofblood,sweatandtears,awomanofhumbleoriginendsupbecomingadrugtraffickinglegend,withallthatthatmeans...",2011,TV-MA,41,"drama,crime,action,thriller",MX,2,tt1704637,8,2445,108.286,7.693
tm59590,OnePieceFilm:Z,MOVIE,"Zephyr,nowknownasZ,ridestheseaswithonlyonegoal:DestroyallpiratesandtheirdreamsatbecomingKingofPirates.WhenLuffyandhiscrewencounterhimatsea,notonlyaretheyutterlydefeatedbythemanwithanarmmadeofSeastone,Nami,Robin,andChopperareturned10yearsyoungerduetoZ'sminionAin.LuffyissodeterminedtowinagainsthimthathedoesnotevennoticeZ'smasterplanthatcouldsacrificethousandsoflives.",2012,PG-13,108,"action,animation,fantasy",JP,,tt2375379,7.8,7243,52.89,7.5
ts34151,TIGER&BUNNY,SHOW,"InanalternateNewYorkCityprotectedbyabandofsuperheroescalledNEXT,veteranWildTigerisforcedtoteamupwithrookieBarnabyBrooksJr.",2011,TV-14,25,"scifi,action,animation,comedy,crime",JP,2,tt2061527,7.3,1028,8.393,7.1
tm161904,Bully,MOVIE,"Thisyear,over5millionAmericankidswillbebulliedatschool,online,onthebus,athome,throughtheircellphonesandonthestreetsoftheirtowns,makingitthemostcommonformofviolenceyoungpeopleinthiscountryexperience.TheBullyProjectisthefirstfeaturedocumentaryfilmtoshowhowwe'veallbeenaffectedbybullying,whetherwe'vebeenvictims,perpetratorsorstoodsilentwitness.Theworldweinhabitasadultsbeginsontheplayground.TheBullyProjectopensonthefirstdayofschool.Forthemorethan5millionkidswho'llbebulliedthisyearintheUnitedStates,it'sadayfilledwithmoreanxietyandforebodingthanexcitement.Asthesunrisesandschoolbussesacrossthecountryoverflowwithbackpacks,brassinstrumentsandtherambunctioussoundsofraginghormones,thisisarideintotheunknown.",2011,PG-13,92,"drama,documentation",US,,tt1682181,7.4,10266,6.651,7.2
